Actuals,Predictions
-3.210762611816944,-2.199185314228275
-2.682133826242545,-2.203182757043583
-1.996239051304079,-2.176575727126369
-1.396469774288714,-2.193600630239206
-2.1567610626309093,-2.1678267854720397
-2.970538045073837,-2.31039743983889
-1.1509834415644895,-2.2252207845670466
-1.9775920798361257,-2.3152003806344386
-1.5584467876719788,-2.2147207104899067
-1.3909205406553509,-2.243622685934669
-2.55560328306362,-2.313094381321284
-2.793614507519152,-2.2958692427875094
-2.4163774636893107,-2.2956481219976386
-2.613632272016799,-2.315377675758674
-2.6659459281395703,-2.3038282022407843
-2.4077517350807565,-2.286769381252308
-2.3373510654775536,-2.2970245325740257
-1.8770247888591491,-2.243104488558503
-1.9627710609253706,-2.274169173073085
-2.0616597514640116,-2.256136730260112
-1.74584467164415,-2.267846781347309
-2.9143782840743246,-2.3307859647148454
-1.3299475253052466,-2.2360222815043236
-1.550517417876736,-2.2405483347708786
-1.4136044309695222,-2.2580918762023
-1.9145705628981193,-2.2478693878494034
-1.5634147152430584,-2.240923366557075
-2.723711064694842,-2.3298712325319504
-2.8850672174695613,-2.3299578257945446
-3.114579777896661,-2.337082588136956
-2.680099446476065,-2.3407364639421626
-2.7320654562152598,-2.3377026708062907
-2.864698936873609,-2.3355830930741304
-2.5499245961680876,-2.340798755517095
-3.076651272842757,-2.364931009546167
-3.1450480575572612,-2.3752021692116383
-3.2104369132718973,-2.344866699307203
-2.6541285367581224,-2.3666866235743584
-3.040420541163771,-2.3756915111350305
-2.628654068745248,-2.3736987347514558
-3.0442833006508745,-2.38255529652724
-2.7806521176369943,-2.369729972706118
-2.658669574187525,-2.3721804838776728
-2.82359517329234,-2.3697082090346426
-2.937464822517507,-2.428216385168895
-2.8576934291341862,-2.441806896522122
-2.6188107733029162,-2.4305196180956923
-2.566560926879847,-2.4402863752786983
-2.6284637238967,-2.42733499240254
-1.8267828512100799,-2.48166790412227
-2.436225960601348,-2.494528342710728
-2.311424660223084,-2.445709608831482
-1.7018584647913666,-2.546973403695729
-1.8445085052371801,-2.5030816301273786
-1.9602020545982053,-2.496378205433915
-1.441649941555019,-2.5330989527752448
-1.6946863790864737,-2.4938667578636795
-1.6670210064666906,-2.5358447026489386
-1.9416350354346381,-2.505547222369172
-1.0958219487199623,-2.5712096624304004
-0.9848733959331271,-2.578335263350453
-0.9184164088530676,-2.563497310962903
-0.8550521815081611,-2.5104588013372706
-1.0233409812894125,-2.5008647764409178
-0.902387658077544,-2.4764544496997916
-0.8346343943562534,-2.5311706956027944
-0.7682507208230637,-2.510480865732597
-0.9388655766372109,-2.5358312663293585
-0.9277805249812738,-2.479377723066072
-0.9380219726681114,-2.503266540043362
-0.7873189280921824,-2.5171300108487125
-0.6008769456035156,-2.479309776927527
-0.6455659379486814,-2.5125054322040525
-0.9038693314870546,-2.4850659266732364
-0.9634472771369079,-2.498383064022249
-0.443216077911676,-2.468849052072656
-0.9562907063919117,-2.458032787747481
-1.3355821624059312,-2.4320021174417192
-1.6324034702726349,-2.4202190810323443
-1.3705816577580003,-2.4186116971476297
-1.5390047279545318,-2.4186459790711337
-1.2008089431861182,-2.3888243798801003
0.022143519406222473,-2.442099351950726
-0.7197190422409518,-2.439295110908832
-1.3663872575678524,-2.402324250121587
0.504596502434928,-2.4391177564961017
-1.0188526968958707,-2.4325363211993962
-1.1610189797817574,-2.4265684330713753
-0.878904688377323,-2.4114736763059343
-1.1588399100895534,-2.448314858096916
-0.9845444029546813,-2.435866824431445
-1.4995928886895757,-2.4214810054133498
0.583768715329556,-2.418662851831548
0.6012757880297782,-2.4249882488973737
-0.7838389985929174,-2.423419468381291
1.4878209536187528,-2.4192250442012435
0.9080026238142936,-2.4194140774175596
1.120635883656632,-2.4143055349837272
1.846739850029148,-2.4261225296845126
2.0973037434945785,-2.4273717372286185
1.1916167205433112,-2.4249452904520354
0.05341848647707577,-2.4029212270488065
0.33623765357108554,-2.4313378738492117
0.11673077799033929,-2.4101882463396787
1.6756778191701127,-2.431555283371709
1.0433575532657493,-2.414006618518069
0.5424080402432602,-2.427140605972885
-0.4223190100012135,-2.4214577053902744
-0.7430181577098489,-2.4165498884885706
-1.5303118031490686,-2.41731362961161
-1.5237832424908238,-2.3965704633310807
-2.4284291845827113,-2.3827792409899287
-2.417523690588456,-2.385812519299267
-0.9414238213962525,-2.402667219116273
-0.40071901667526666,-2.407811587810519
-0.5658231757355228,-2.391766832044977
-1.0187278522889194,-2.3912024900735096
-2.706340020537556,-2.404987026994256
-1.551755289572979,-2.407105687067789
-1.456473905976386,-2.3940309025579474
-2.0067439327834475,-2.3765537702090103
-2.0511075752240853,-2.3798249037023504
-1.8262807518999842,-2.4105609199873372
-0.8080157494926636,-2.402147342234796
-2.650217667928728,-2.3676746397889237
