Maturity (Years),Execution Date,Horizon (Years),Metric,Value
10.0,1990-02-01,1.0,RMSE,0.0031573576504685115
10.0,1990-02-01,1.0,R-Squared,0.027593055472535433
10.0,1990-02-01,2.0,RMSE,0.005292462028277728
10.0,1990-02-01,2.0,R-Squared,-0.025703743923578992
10.0,1990-02-01,3.0,RMSE,0.008488274625997314
10.0,1990-02-01,3.0,R-Squared,-0.3030499935606439
10.0,1990-02-01,4.0,RMSE,0.013376217572358243
10.0,1990-02-01,4.0,R-Squared,-0.5597982516579647
10.0,1990-02-01,5.0,RMSE,0.012291833645863079
10.0,1990-02-01,5.0,R-Squared,-0.6049351459457368
0.08333,1990-08-01,0.5,RMSE,
0.08333,1990-08-01,0.5,R-Squared,
0.08333,1990-08-01,1.0,RMSE,
0.08333,1990-08-01,1.0,R-Squared,
0.08333,1990-08-01,2.0,RMSE,
0.08333,1990-08-01,2.0,R-Squared,
0.08333,1990-08-01,3.0,RMSE,
0.08333,1990-08-01,3.0,R-Squared,
0.08333,1990-08-01,4.0,RMSE,
0.08333,1990-08-01,4.0,R-Squared,
0.08333,1990-08-01,5.0,RMSE,
0.08333,1990-08-01,5.0,R-Squared,
0.25,1990-08-01,0.5,RMSE,0.00831842771417854
0.25,1990-08-01,0.5,R-Squared,-2.2831943649358264
0.25,1990-08-01,1.0,RMSE,0.013891886286187196
0.25,1990-08-01,1.0,R-Squared,-3.1936927936038364
0.25,1990-08-01,2.0,RMSE,0.02552928285932996
0.25,1990-08-01,2.0,R-Squared,-2.9081442621783378
0.25,1990-08-01,3.0,RMSE,0.03161892802000305
0.25,1990-08-01,3.0,R-Squared,-3.7264710710008
0.25,1990-08-01,4.0,RMSE,0.03229810946686718
0.25,1990-08-01,4.0,R-Squared,-4.824203567591927
0.25,1990-08-01,5.0,RMSE,0.02950362513628904
0.25,1990-08-01,5.0,R-Squared,-3.961092243732951
0.5,1990-08-01,0.5,RMSE,0.008806335619115011
0.5,1990-08-01,0.5,R-Squared,-2.4040063193349415
0.5,1990-08-01,1.0,RMSE,0.014275650125582306
0.5,1990-08-01,1.0,R-Squared,-3.548172888311419
0.5,1990-08-01,2.0,RMSE,0.026108890833756723
0.5,1990-08-01,2.0,R-Squared,-3.068955116846725
0.5,1990-08-01,3.0,RMSE,0.03199490026813101
0.5,1990-08-01,3.0,R-Squared,-3.917241236139267
0.5,1990-08-01,4.0,RMSE,0.03225503437454321
0.5,1990-08-01,4.0,R-Squared,-4.918349034010452
0.5,1990-08-01,5.0,RMSE,0.029359964652166042
0.5,1990-08-01,5.0,R-Squared,-3.8376954230805236
1.0,1990-08-01,0.5,RMSE,0.0096983774648614
1.0,1990-08-01,0.5,R-Squared,-3.1417871678293503
1.0,1990-08-01,1.0,RMSE,0.014360265017202497
1.0,1990-08-01,1.0,R-Squared,-4.6709760593970024
1.0,1990-08-01,2.0,RMSE,0.0266274633084366
1.0,1990-08-01,2.0,R-Squared,-3.2792973657182154
1.0,1990-08-01,3.0,RMSE,0.03249728974981867
1.0,1990-08-01,3.0,R-Squared,-4.093842662557378
1.0,1990-08-01,4.0,RMSE,0.032301446073988015
1.0,1990-08-01,4.0,R-Squared,-4.864643326259025
1.0,1990-08-01,5.0,RMSE,0.02934843395600901
1.0,1990-08-01,5.0,R-Squared,-3.565052391250031
2.0,1990-08-01,0.5,RMSE,0.008487432706337271
2.0,1990-08-01,0.5,R-Squared,-4.534774039798444
2.0,1990-08-01,1.0,RMSE,0.012072877047936201
2.0,1990-08-01,1.0,R-Squared,-5.725595753510062
2.0,1990-08-01,2.0,RMSE,0.02279618959924853
2.0,1990-08-01,2.0,R-Squared,-3.124340723541951
2.0,1990-08-01,3.0,RMSE,0.028732913231795297
2.0,1990-08-01,3.0,R-Squared,-3.5806740718898755
2.0,1990-08-01,4.0,RMSE,0.0287221064416976
2.0,1990-08-01,4.0,R-Squared,-4.152077509827313
2.0,1990-08-01,5.0,RMSE,0.02620823490649446
2.0,1990-08-01,5.0,R-Squared,-3.2164439485545975
3.0,1990-08-01,0.5,RMSE,0.008821029655306551
3.0,1990-08-01,0.5,R-Squared,-5.458426321552482
3.0,1990-08-01,1.0,RMSE,0.011426093092863101
3.0,1990-08-01,1.0,R-Squared,-7.257901044736306
3.0,1990-08-01,2.0,RMSE,0.02082977061982248
3.0,1990-08-01,2.0,R-Squared,-3.253963992651486
3.0,1990-08-01,3.0,RMSE,0.026478883500822746
3.0,1990-08-01,3.0,R-Squared,-3.4747334583516105
3.0,1990-08-01,4.0,RMSE,0.026688012753957848
3.0,1990-08-01,4.0,R-Squared,-3.9804273033463717
3.0,1990-08-01,5.0,RMSE,0.024471418015582763
3.0,1990-08-01,5.0,R-Squared,-3.2738450318249717
4.0,1990-08-01,0.5,RMSE,0.008372139957204932
4.0,1990-08-01,0.5,R-Squared,-5.286042592554075
4.0,1990-08-01,1.0,RMSE,0.009909546823905832
4.0,1990-08-01,1.0,R-Squared,-7.748487047006606
4.0,1990-08-01,2.0,RMSE,0.017960562006214924
4.0,1990-08-01,2.0,R-Squared,-3.0011207112010743
4.0,1990-08-01,3.0,RMSE,0.02332999627112437
4.0,1990-08-01,3.0,R-Squared,-3.012786630716332
4.0,1990-08-01,4.0,RMSE,0.023774625384600817
4.0,1990-08-01,4.0,R-Squared,-3.4079980801910486
4.0,1990-08-01,5.0,RMSE,0.021910305583901186
4.0,1990-08-01,5.0,R-Squared,-2.9580483375739677
5.0,1990-08-01,0.5,RMSE,0.007441850933171104
5.0,1990-08-01,0.5,R-Squared,-4.326885754694475
5.0,1990-08-01,1.0,RMSE,0.007906856150292109
5.0,1990-08-01,1.0,R-Squared,-6.753249966863177
5.0,1990-08-01,2.0,RMSE,0.014576843740321095
5.0,1990-08-01,2.0,R-Squared,-2.425147682801262
5.0,1990-08-01,3.0,RMSE,0.01969334695869019
5.0,1990-08-01,3.0,R-Squared,-2.3084552327856125
5.0,1990-08-01,4.0,RMSE,0.02039641898292939
5.0,1990-08-01,4.0,R-Squared,-2.5888915548461413
5.0,1990-08-01,5.0,RMSE,0.018924450495448518
5.0,1990-08-01,5.0,R-Squared,-2.3569200129346015
6.0,1990-08-01,0.5,RMSE,0.007305920674306103
6.0,1990-08-01,0.5,R-Squared,-4.176897822403831
6.0,1990-08-01,1.0,RMSE,0.007636104219597627
6.0,1990-08-01,1.0,R-Squared,-6.430673928121137
6.0,1990-08-01,2.0,RMSE,0.013560768906969493
6.0,1990-08-01,2.0,R-Squared,-2.356182220243201
6.0,1990-08-01,3.0,RMSE,0.018504296553421788
6.0,1990-08-01,3.0,R-Squared,-2.148935810755517
6.0,1990-08-01,4.0,RMSE,0.01928830439294794
6.0,1990-08-01,4.0,R-Squared,-2.399462874114485
6.0,1990-08-01,5.0,RMSE,0.017941360881734706
6.0,1990-08-01,5.0,R-Squared,-2.2244417311176305
7.0,1990-08-01,0.5,RMSE,0.006965095108895159
7.0,1990-08-01,0.5,R-Squared,-3.728245734604978
7.0,1990-08-01,1.0,RMSE,0.007162336065124357
7.0,1990-08-01,1.0,R-Squared,-5.714602901559843
7.0,1990-08-01,2.0,RMSE,0.012357275245616015
7.0,1990-08-01,2.0,R-Squared,-2.193421941649866
7.0,1990-08-01,3.0,RMSE,0.01714248584331553
7.0,1990-08-01,3.0,R-Squared,-1.9224170796180693
7.0,1990-08-01,4.0,RMSE,0.01802011569484108
7.0,1990-08-01,4.0,R-Squared,-2.142099115007509
7.0,1990-08-01,5.0,RMSE,0.016811416862971426
7.0,1990-08-01,5.0,R-Squared,-2.021390710901641
8.0,1990-08-01,0.5,RMSE,0.006486163912725908
8.0,1990-08-01,0.5,R-Squared,-3.101287370895209
8.0,1990-08-01,1.0,RMSE,0.00655325756491802
8.0,1990-08-01,1.0,R-Squared,-4.762931401470959
8.0,1990-08-01,2.0,RMSE,0.011020920004894335
8.0,1990-08-01,2.0,R-Squared,-1.952341833975272
8.0,1990-08-01,3.0,RMSE,0.015665261748084212
8.0,1990-08-01,3.0,R-Squared,-1.6466019152861762
8.0,1990-08-01,4.0,RMSE,0.01664831310230964
8.0,1990-08-01,4.0,R-Squared,-1.8381508593863614
8.0,1990-08-01,5.0,RMSE,0.015588557757289434
8.0,1990-08-01,5.0,R-Squared,-1.7648398229235047
9.0,1990-08-01,0.5,RMSE,0.00590160617929334
9.0,1990-08-01,0.5,R-Squared,-2.387551043456444
9.0,1990-08-01,1.0,RMSE,0.005843628532245886
9.0,1990-08-01,1.0,R-Squared,-3.6850119089090603
9.0,1990-08-01,2.0,RMSE,0.00958171847299634
9.0,1990-08-01,2.0,R-Squared,-1.6355366419805568
9.0,1990-08-01,3.0,RMSE,0.014101121668001426
9.0,1990-08-01,3.0,R-Squared,-1.332190327897814
9.0,1990-08-01,4.0,RMSE,0.015201798781762546
9.0,1990-08-01,4.0,R-Squared,-1.5010434265789585
9.0,1990-08-01,5.0,RMSE,0.014301632230615997
9.0,1990-08-01,5.0,R-Squared,-1.466213238129793
10.0,1990-08-01,0.5,RMSE,0.005245838159166501
10.0,1990-08-01,0.5,R-Squared,-1.660085214127439
10.0,1990-08-01,1.0,RMSE,0.005063054286116324
