Maturity (Years),Execution Date,Horizon (Years),Metric,Value
9.0,1990-05-01,2.0,R-Squared,0.45622757756532284
9.0,1990-05-01,3.0,RMSE,0.007606503034548545
9.0,1990-05-01,3.0,R-Squared,0.2101238437430839
9.0,1990-05-01,4.0,RMSE,0.010326288399613207
9.0,1990-05-01,4.0,R-Squared,0.005939006055504681
9.0,1990-05-01,5.0,RMSE,0.009458058978229574
9.0,1990-05-01,5.0,R-Squared,0.016359306030918175
10.0,1990-05-01,0.5,RMSE,0.0037044152705810064
10.0,1990-05-01,0.5,R-Squared,-0.8673682157186011
10.0,1990-05-01,1.0,RMSE,0.002681259354849362
10.0,1990-05-01,1.0,R-Squared,0.24946276503027442
10.0,1990-05-01,2.0,RMSE,0.003263635462808026
10.0,1990-05-01,2.0,R-Squared,0.5597675249289442
10.0,1990-05-01,3.0,RMSE,0.006266962233980828
10.0,1990-05-01,3.0,R-Squared,0.39109836243664997
10.0,1990-05-01,4.0,RMSE,0.009064655961387641
10.0,1990-05-01,4.0,R-Squared,0.18646278172473707
10.0,1990-05-01,5.0,RMSE,0.008369658777175833
10.0,1990-05-01,5.0,R-Squared,0.17739394214042592
0.08333,1990-07-01,0.5,RMSE,
0.08333,1990-07-01,0.5,R-Squared,
0.08333,1990-07-01,1.0,RMSE,
0.08333,1990-07-01,1.0,R-Squared,
0.08333,1990-07-01,2.0,RMSE,
0.08333,1990-07-01,2.0,R-Squared,
0.08333,1990-07-01,3.0,RMSE,
0.08333,1990-07-01,3.0,R-Squared,
0.08333,1990-07-01,4.0,RMSE,
0.08333,1990-07-01,4.0,R-Squared,
0.08333,1990-07-01,5.0,RMSE,
0.08333,1990-07-01,5.0,R-Squared,
0.25,1990-07-01,0.5,RMSE,0.006142463843228176
0.25,1990-07-01,0.5,R-Squared,-0.992014248015328
0.25,1990-07-01,1.0,RMSE,0.011567532785523303
0.25,1990-07-01,1.0,R-Squared,-1.5595599495140422
0.25,1990-07-01,2.0,RMSE,0.02088122299127597
0.25,1990-07-01,2.0,R-Squared,-1.5213958037131121
0.25,1990-07-01,3.0,RMSE,0.026160663806067665
0.25,1990-07-01,3.0,R-Squared,-1.9451502253236113
0.25,1990-07-01,4.0,RMSE,0.026496739814256355
0.25,1990-07-01,4.0,R-Squared,-2.4771840221281987
0.25,1990-07-01,5.0,RMSE,0.023860067169573708
0.25,1990-07-01,5.0,R-Squared,-1.9994177748710888
0.5,1990-07-01,0.5,RMSE,0.006279837852242186
0.5,1990-07-01,0.5,R-Squared,-0.9391200303334177
0.5,1990-07-01,1.0,RMSE,0.011590790046367568
0.5,1990-07-01,1.0,R-Squared,-1.6757054773058226
0.5,1990-07-01,2.0,RMSE,0.02126511445181936
0.5,1990-07-01,2.0,R-Squared,-1.6101132913328127
0.5,1990-07-01,3.0,RMSE,0.026458749311350407
0.5,1990-07-01,3.0,R-Squared,-2.0616105461400447
0.5,1990-07-01,4.0,RMSE,0.026525643343856924
0.5,1990-07-01,4.0,R-Squared,-2.565183106689734
0.5,1990-07-01,5.0,RMSE,0.023837769066698804
0.5,1990-07-01,5.0,R-Squared,-1.9594081767274245
1.0,1990-07-01,0.5,RMSE,0.00662676047920138
1.0,1990-07-01,0.5,R-Squared,-1.1024684319715563
1.0,1990-07-01,1.0,RMSE,0.011076170404490404
1.0,1990-07-01,1.0,R-Squared,-2.0986223396581214
1.0,1990-07-01,2.0,RMSE,0.02141301104819633
1.0,1990-07-01,2.0,R-Squared,-1.7226456147103848
1.0,1990-07-01,3.0,RMSE,0.026813431651763652
1.0,1990-07-01,3.0,R-Squared,-2.177314879980744
1.0,1990-07-01,4.0,RMSE,0.026651602990751144
1.0,1990-07-01,4.0,R-Squared,-2.6054335935316546
1.0,1990-07-01,5.0,RMSE,0.023965752844682976
1.0,1990-07-01,5.0,R-Squared,-1.8522926437074836
2.0,1990-07-01,0.5,RMSE,0.005296580636344817
2.0,1990-07-01,0.5,R-Squared,-0.8958976760873825
2.0,1990-07-01,1.0,RMSE,0.008113159566224356
2.0,1990-07-01,1.0,R-Squared,-1.9221495300516365
2.0,1990-07-01,2.0,RMSE,0.01718483865091788
2.0,1990-07-01,2.0,R-Squared,-1.4122244576794345
2.0,1990-07-01,3.0,RMSE,0.02284091972087287
2.0,1990-07-01,3.0,R-Squared,-1.728472978332264
2.0,1990-07-01,4.0,RMSE,0.023077866744068955
2.0,1990-07-01,4.0,R-Squared,-2.046631351221117
2.0,1990-07-01,5.0,RMSE,0.02082589843207443
2.0,1990-07-01,5.0,R-Squared,-1.5013206308910054
3.0,1990-07-01,0.5,RMSE,0.0050643695588381615
3.0,1990-07-01,0.5,R-Squared,-0.8504960324930706
3.0,1990-07-01,1.0,RMSE,0.0070223825747373165
3.0,1990-07-01,1.0,R-Squared,-1.963831405138928
3.0,1990-07-01,2.0,RMSE,0.015027684869652783
3.0,1990-07-01,2.0,R-Squared,-1.3056415580542824
3.0,1990-07-01,3.0,RMSE,0.020459639332454867
3.0,1990-07-01,3.0,R-Squared,-1.5581639551759445
3.0,1990-07-01,4.0,RMSE,0.02101149217957461
3.0,1990-07-01,4.0,R-Squared,-1.8379799338005793
3.0,1990-07-01,5.0,RMSE,0.019007074339925524
3.0,1990-07-01,5.0,R-Squared,-1.420904667908634
4.0,1990-07-01,0.5,RMSE,0.004418052003196057
4.0,1990-07-01,0.5,R-Squared,-0.5048493462394916
4.0,1990-07-01,1.0,RMSE,0.0053251938648101235
4.0,1990-07-01,1.0,R-Squared,-1.3637257208351046
4.0,1990-07-01,2.0,RMSE,0.012113011683686357
4.0,1990-07-01,2.0,R-Squared,-0.925303908682122
4.0,1990-07-01,3.0,RMSE,0.017265193643124208
4.0,1990-07-01,3.0,R-Squared,-1.1483902136730229
4.0,1990-07-01,4.0,RMSE,0.018129359188272142
4.0,1990-07-01,4.0,R-Squared,-1.369009223630226
4.0,1990-07-01,5.0,RMSE,0.016461356611903472
4.0,1990-07-01,5.0,R-Squared,-1.1024229285368254
5.0,1990-07-01,0.5,RMSE,0.0037229672422944096
5.0,1990-07-01,0.5,R-Squared,-0.1376512144441724
5.0,1990-07-01,1.0,RMSE,0.0035280905369931494
5.0,1990-07-01,1.0,R-Squared,-0.4239449667008215
5.0,1990-07-01,2.0,RMSE,0.00885995224249291
5.0,1990-07-01,2.0,R-Squared,-0.36733166513593773
5.0,1990-07-01,3.0,RMSE,0.013687482199193192
5.0,1990-07-01,3.0,R-Squared,-0.6055835153926574
5.0,1990-07-01,4.0,RMSE,0.014879238583165423
5.0,1990-07-01,4.0,R-Squared,-0.7786256782075605
5.0,1990-07-01,5.0,RMSE,0.013605249874221813
5.0,1990-07-01,5.0,R-Squared,-0.6435527157524352
6.0,1990-07-01,0.5,RMSE,0.0035292264335685638
6.0,1990-07-01,0.5,R-Squared,-0.018629258191459552
6.0,1990-07-01,1.0,RMSE,0.003197566946967188
6.0,1990-07-01,1.0,R-Squared,-0.15163776092193193
6.0,1990-07-01,2.0,RMSE,0.00784262104585376
6.0,1990-07-01,2.0,R-Squared,-0.1982716587090716
6.0,1990-07-01,3.0,RMSE,0.012491688716701024
6.0,1990-07-01,3.0,R-Squared,-0.447660011641412
6.0,1990-07-01,4.0,RMSE,0.01379614819651348
6.0,1990-07-01,4.0,R-Squared,-0.6161152561915848
6.0,1990-07-01,5.0,RMSE,0.012645779262096273
6.0,1990-07-01,5.0,R-Squared,-0.51537340347489
7.0,1990-07-01,0.5,RMSE,0.0034037865271029184
7.0,1990-07-01,0.5,R-Squared,0.059637889965209245
7.0,1990-07-01,1.0,RMSE,0.00287944279299597
7.0,1990-07-01,1.0,R-Squared,0.0817406374995856
7.0,1990-07-01,2.0,RMSE,0.006717576387988953
7.0,1990-07-01,2.0,R-Squared,0.006908247148298963
7.0,1990-07-01,3.0,RMSE,0.011165680497963083
7.0,1990-07-01,3.0,R-Squared,-0.2573282524231608
7.0,1990-07-01,4.0,RMSE,0.012588135545394338
7.0,1990-07-01,4.0,R-Squared,-0.42206668634356115
7.0,1990-07-01,5.0,RMSE,0.0115786823542567
7.0,1990-07-01,5.0,R-Squared,-0.3546030364323478
8.0,1990-07-01,0.5,RMSE,0.0034331983640655244
8.0,1990-07-01,0.5,R-Squared,0.054231427383888864
8.0,1990-07-01,1.0,RMSE,0.0027033051402426973
8.0,1990-07-01,1.0,R-Squared,0.20640051195030473
8.0,1990-07-01,2.0,RMSE,0.0055622232796470735
8.0,1990-07-01,2.0,R-Squared,0.22230513639289406
8.0,1990-07-01,3.0,RMSE,0.009775843091299457
8.0,1990-07-01,3.0,R-Squared,-0.05208231802796792
8.0,1990-07-01,4.0,RMSE,0.011320386974854367
8.0,1990-07-01,4.0,R-Squared,-0.21501045837025212
8.0,1990-07-01,5.0,RMSE,0.010464746539118825
8.0,1990-07-01,5.0,R-Squared,-0.1773113805720019
9.0,1990-07-01,0.5,RMSE,0.0036723198339254953
9.0,1990-07-01,0.5,R-Squared,-0.06574185537490607
9.0,1990-07-01,1.0,RMSE,0.0027781974864881
9.0,1990-07-01,1.0,R-Squared,0.17950001262682014
9.0,1990-07-01,2.0,RMSE,0.0044713404971476285
9.0,1990-07-01,2.0,R-Squared,0.4189377209041816
9.0,1990-07-01,3.0,RMSE,0.008375147226174358
9.0,1990-07-01,3.0,R-Squared,0.15342419158332687
9.0,1990-07-01,4.0,RMSE,0.010040156455605232
9.0,1990-07-01,4.0,R-Squared,-0.008809183494422834
9.0,1990-07-01,5.0,RMSE,0.009349349463844027
9.0,1990-07-01,5.0,R-Squared,0.003591505264407102
10.0,1990-07-01,0.5,RMSE,0.004133106085138762
10.0,1990-07-01,0.5,R-Squared,-0.3240326221768819
10.0,1990-07-01,1.0,RMSE,0.0031510508852988913
10.0,1990-07-01,1.0,R-Squared,-0.02927947099415862
10.0,1990-07-01,2.0,RMSE,0.0036259968793004352
10.0,1990-07-01,2.0,R-Squared,0.5520355574955518
10.0,1990-07-01,3.0,RMSE,0.007035719571548903
10.0,1990-07-01,3.0,R-Squared,0.3421994302754521
10.0,1990-07-01,4.0,RMSE,0.008802366682986434
10.0,1990-07-01,4.0,R-Squared,0.1831479065615499
10.0,1990-07-01,5.0,RMSE,0.008284750523082977
10.0,1990-07-01,5.0,R-Squared,0.17499624368220545
0.08333,1989-12-01,0.5,RMSE,
0.08333,1989-12-01,0.5,R-Squared,
0.08333,1989-12-01,1.0,RMSE,
0.08333,1989-12-01,1.0,R-Squared,
0.08333,1989-12-01,2.0,RMSE,
0.08333,1989-12-01,2.0,R-Squared,
0.08333,1989-12-01,3.0,RMSE,
0.08333,1989-12-01,3.0,R-Squared,
0.08333,1989-12-01,4.0,RMSE,
0.08333,1989-12-01,4.0,R-Squared,
0.08333,1989-12-01,5.0,RMSE,
0.08333,1989-12-01,5.0,R-Squared,
0.25,1989-12-01,0.5,RMSE,0.004574565541494947
0.25,1989-12-01,0.5,R-Squared,-754.7778853968482
0.25,1989-12-01,1.0,RMSE,0.0038572037933209615
0.25,1989-12-01,1.0,R-Squared,0.18710477292209782
0.25,1989-12-01,2.0,RMSE,0.009902097910159911
0.25,1989-12-01,2.0,R-Squared,0.366353491967493
0.25,1989-12-01,3.0,RMSE,0.018204234526277025
0.25,1989-12-01,3.0,R-Squared,-0.043097618012704064
0.25,1989-12-01,4.0,RMSE,0.02185417252716901
0.25,1989-12-01,4.0,R-Squared,-0.3458113466398609
0.25,1989-12-01,5.0,RMSE,0.02101602878407067
0.25,1989-12-01,5.0,R-Squared,-0.46473347792934394
0.5,1989-12-01,0.5,RMSE,0.005204027772928246
0.5,1989-12-01,0.5,R-Squared,-18.70022918557397
0.5,1989-12-01,1.0,RMSE,0.004168223054443714
0.5,1989-12-01,1.0,R-Squared,0.1357044559411822
0.5,1989-12-01,2.0,RMSE,0.010393851143328362
0.5,1989-12-01,2.0,R-Squared,0.3151412391977212
0.5,1989-12-01,3.0,RMSE,0.018516741214014955
0.5,1989-12-01,3.0,R-Squared,-0.09592308059695531
0.5,1989-12-01,4.0,RMSE,0.022207792724862004
0.5,1989-12-01,4.0,R-Squared,-0.4115516792724476
0.5,1989-12-01,5.0,RMSE,0.021069222740845137
0.5,1989-12-01,5.0,R-Squared,-0.49053112021345013
1.0,1989-12-01,0.5,RMSE,0.006179053852920911
1.0,1989-12-01,0.5,R-Squared,-10.391482856260529
1.0,1989-12-01,1.0,RMSE,0.004724271155749806
