Maturity (Years),Execution Date,Horizon (Years),Metric,Value
4.0,1990-10-01,0.5,R-Squared,-28.127665865928737
4.0,1990-10-01,1.0,RMSE,0.011256592797186458
4.0,1990-10-01,1.0,R-Squared,-6.51343089225469
4.0,1990-10-01,2.0,RMSE,0.01824129538383897
4.0,1990-10-01,2.0,R-Squared,-3.0353400347213766
4.0,1990-10-01,3.0,RMSE,0.021946893203696742
4.0,1990-10-01,3.0,R-Squared,-2.8558159811841612
4.0,1990-10-01,4.0,RMSE,0.020587076526166526
4.0,1990-10-01,4.0,R-Squared,-2.7343984371385788
4.0,1990-10-01,5.0,RMSE,0.01880561519428484
4.0,1990-10-01,5.0,R-Squared,-2.2955550527151076
5.0,1990-10-01,0.5,RMSE,0.007057386523537871
5.0,1990-10-01,0.5,R-Squared,-31.90539620512287
5.0,1990-10-01,1.0,RMSE,0.008835572624065419
5.0,1990-10-01,1.0,R-Squared,-4.779725592765235
5.0,1990-10-01,2.0,RMSE,0.014619941322126755
5.0,1990-10-01,2.0,R-Squared,-2.3059161538112454
5.0,1990-10-01,3.0,RMSE,0.01846673392709041
5.0,1990-10-01,3.0,R-Squared,-2.0030600572079056
5.0,1990-10-01,4.0,RMSE,0.01741731087567982
5.0,1990-10-01,4.0,R-Squared,-1.9284616409387794
5.0,1990-10-01,5.0,RMSE,0.01604391812783137
5.0,1990-10-01,5.0,R-Squared,-1.6928129105870293
6.0,1990-10-01,0.5,RMSE,0.006877145396817154
6.0,1990-10-01,0.5,R-Squared,-36.45810910616825
6.0,1990-10-01,1.0,RMSE,0.008299458892946119
6.0,1990-10-01,1.0,R-Squared,-4.898790978303268
6.0,1990-10-01,2.0,RMSE,0.013503002957620799
6.0,1990-10-01,2.0,R-Squared,-2.2303347419646924
6.0,1990-10-01,3.0,RMSE,0.017381486301763466
6.0,1990-10-01,3.0,R-Squared,-1.835980507908602
6.0,1990-10-01,4.0,RMSE,0.01644582384452908
6.0,1990-10-01,4.0,R-Squared,-1.7778195702687034
6.0,1990-10-01,5.0,RMSE,0.01519536598005109
6.0,1990-10-01,5.0,R-Squared,-1.582230910746794
7.0,1990-10-01,0.5,RMSE,0.006480423320658792
7.0,1990-10-01,0.5,R-Squared,-39.69763195555586
7.0,1990-10-01,1.0,RMSE,0.007578766421899678
7.0,1990-10-01,1.0,R-Squared,-4.759610576749294
7.0,1990-10-01,2.0,RMSE,0.012181716303932864
7.0,1990-10-01,2.0,R-Squared,-2.0559394830949023
7.0,1990-10-01,3.0,RMSE,0.01609743575753228
7.0,1990-10-01,3.0,R-Squared,-1.5940064288818894
7.0,1990-10-01,4.0,RMSE,0.015285655184687707
7.0,1990-10-01,4.0,R-Squared,-1.55202731798799
7.0,1990-10-01,5.0,RMSE,0.014174421391520316
7.0,1990-10-01,5.0,R-Squared,-1.395185624878894
8.0,1990-10-01,0.5,RMSE,0.005936458747648036
8.0,1990-10-01,0.5,R-Squared,-41.98331510539943
8.0,1990-10-01,1.0,RMSE,0.006728943453361284
8.0,1990-10-01,1.0,R-Squared,-4.429972300022015
8.0,1990-10-01,2.0,RMSE,0.01071891784420666
8.0,1990-10-01,2.0,R-Squared,-1.797786642484212
8.0,1990-10-01,3.0,RMSE,0.01468437252763536
8.0,1990-10-01,3.0,R-Squared,-1.302028753126907
8.0,1990-10-01,4.0,RMSE,0.01400549887732446
8.0,1990-10-01,4.0,R-Squared,-1.276127397602957
8.0,1990-10-01,5.0,RMSE,0.013044916526008237
8.0,1990-10-01,5.0,R-Squared,-1.1526456941210252
9.0,1990-10-01,0.5,RMSE,0.005271907109369008
9.0,1990-10-01,0.5,R-Squared,-43.25715973890862
9.0,1990-10-01,1.0,RMSE,0.005787587614358375
9.0,1990-10-01,1.0,R-Squared,-3.885441367867198
9.0,1990-10-01,2.0,RMSE,0.00914622434712202
9.0,1990-10-01,2.0,R-Squared,-1.4591748068795645
9.0,1990-10-01,3.0,RMSE,0.013180443242369456
9.0,1990-10-01,3.0,R-Squared,-0.97706291195341
9.0,1990-10-01,4.0,RMSE,0.012644204654493944
9.0,1990-10-01,4.0,R-Squared,-0.967311551078119
9.0,1990-10-01,5.0,RMSE,0.011844209433694144
9.0,1990-10-01,5.0,R-Squared,-0.8706472650300403
10.0,1990-10-01,0.5,RMSE,0.004514702768660735
10.0,1990-10-01,0.5,R-Squared,-42.30951625891674
10.0,1990-10-01,1.0,RMSE,0.004772965462227622
10.0,1990-10-01,1.0,R-Squared,-3.1512008515275864
10.0,1990-10-01,2.0,RMSE,0.007481780763662333
10.0,1990-10-01,2.0,R-Squared,-1.039253281658766
10.0,1990-10-01,3.0,RMSE,0.011616168228713896
10.0,1990-10-01,3.0,R-Squared,-0.6339897156299616
10.0,1990-10-01,4.0,RMSE,0.011231951533985738
10.0,1990-10-01,4.0,R-Squared,-0.6407427676618371
10.0,1990-10-01,5.0,RMSE,0.010601430925260787
10.0,1990-10-01,5.0,R-Squared,-0.5646153458981966
0.08333,1989-11-01,0.5,RMSE,
0.08333,1989-11-01,0.5,R-Squared,
0.08333,1989-11-01,1.0,RMSE,
0.08333,1989-11-01,1.0,R-Squared,
0.08333,1989-11-01,2.0,RMSE,
0.08333,1989-11-01,2.0,R-Squared,
0.08333,1989-11-01,3.0,RMSE,
0.08333,1989-11-01,3.0,R-Squared,
0.08333,1989-11-01,4.0,RMSE,
0.08333,1989-11-01,4.0,R-Squared,
0.08333,1989-11-01,5.0,RMSE,
0.08333,1989-11-01,5.0,R-Squared,
0.25,1989-11-01,0.5,RMSE,0.004573653581485614
0.25,1989-11-01,0.5,R-Squared,-23.542001825146315
0.25,1989-11-01,1.0,RMSE,0.004452442490268613
0.25,1989-11-01,1.0,R-Squared,-1.308781780501525
0.25,1989-11-01,2.0,RMSE,0.00805037801117435
0.25,1989-11-01,2.0,R-Squared,0.5019519665870479
0.25,1989-11-01,3.0,RMSE,0.016841832979425465
0.25,1989-11-01,3.0,R-Squared,0.09669503515296851
0.25,1989-11-01,4.0,RMSE,0.020756746474559655
0.25,1989-11-01,4.0,R-Squared,-0.184251914169969
0.25,1989-11-01,5.0,RMSE,0.020342256266822213
0.25,1989-11-01,5.0,R-Squared,-0.3145714953468495
0.5,1989-11-01,0.5,RMSE,0.005335373593882803
0.5,1989-11-01,0.5,R-Squared,-10.52922922255059
0.5,1989-11-01,1.0,RMSE,0.004534133645218344
0.5,1989-11-01,1.0,R-Squared,-1.0730879059003864
0.5,1989-11-01,2.0,RMSE,0.008491443949408269
0.5,1989-11-01,2.0,R-Squared,0.44948397819288477
0.5,1989-11-01,3.0,RMSE,0.0172512922241591
