execution_date,date,residual
1989-10-01,1984-10-01,0.07442029805113792
1989-10-01,1984-09-01,0.020857029323714915
1989-10-01,1984-08-01,0.12982066595620934
1989-10-01,1984-07-01,-1.2569421789419275
1989-10-01,1984-06-01,1.9756266528888013
1989-10-01,1984-05-01,3.1010613397343
1989-10-01,1984-04-01,0.9074893393255583
1989-10-01,1984-03-01,0.255414019059001
1989-10-01,1984-02-01,-0.07729024385020106
1989-10-01,1984-01-01,-0.9708991058595497
1989-10-01,1983-12-01,-0.07581622930766141
1989-10-01,1983-11-01,-0.5185774884849095
1989-10-01,1983-10-01,0.07987183014906707
1989-10-01,1983-09-01,-0.4340818720750428
1989-10-01,1983-08-01,0.18500681711049283
1989-10-01,1983-07-01,0.8350950703044308
1989-10-01,1983-05-01,0.1124295585368436
1989-10-01,1972-03-01,2.693979074479341
1989-10-01,1980-12-01,-4.785001111481922
1989-10-01,1972-01-01,0.5187775004438754
1989-10-01,1960-10-01,0.5945292222616407
1989-10-01,1960-09-01,-0.12172136481270912
1989-10-01,1960-08-01,-0.7180765346148362
1989-10-01,1960-07-01,-0.09385955343430297
1989-10-01,1960-06-01,0.022685857447832802
1989-10-01,1960-05-01,1.2346531943307038
1989-10-01,1960-04-01,0.5090903840512702
1989-10-01,1960-03-01,0.057531103852951126
1989-10-01,1960-02-01,0.6232020876074533
1989-10-01,1960-01-01,0.2261722569488347
1989-10-01,1960-11-01,0.20211681648161361
1989-10-01,1959-12-01,0.9685560519554661
1989-10-01,1959-10-01,0.10416664817631771
1989-10-01,1959-09-01,0.87399662040835
1989-10-01,1959-08-01,0.41237276848054805
1989-10-01,1959-07-01,1.5731841362827739
1989-10-01,1959-06-01,0.8854464499145158
1989-10-01,1959-05-01,1.4921355346194263
1989-10-01,1959-04-01,0.17387409251929742
1989-10-01,1959-03-01,0.46671946817294097
1989-10-01,1959-02-01,1.1646035470336389
1989-10-01,1959-01-01,0.42535859864728987
1989-10-01,1959-11-01,0.6445196481468654
1989-10-01,1960-12-01,-0.3617480402149693
1989-10-01,1961-01-01,-0.1421602637821513
1989-10-01,1961-02-01,0.20312823254814083
1989-10-01,1963-01-01,-0.4235371742259225
1989-10-01,1962-12-01,-0.3256785748167167
1989-10-01,1962-11-01,-0.5342828883796732
1989-10-01,1962-10-01,-0.34906394116110995
1989-10-01,1962-09-01,-0.5564197095263932
1989-10-01,1962-08-01,-0.9161777357979484
