Actuals,Predictions
-0.7873189280921824,-2.49508199729089
-0.7682507208230637,-2.4873133599005186
-0.6008769456035156,-2.4703612232331844
-0.443216077911676,-2.4690150022948814
-0.9562907063919117,-2.535952741939603
-1.3355821624059312,-2.552460332924604
-1.5390047279545318,-2.538972799748575
-1.6324034702726349,-2.5504674371597416
-1.3705816577580003,-2.5439804934576107
-1.4995928886895757,-2.50161386531455
-0.878904688377323,-2.511112380530567
-1.2008089431861182,-2.535009849506045
-0.9845444029546813,-2.5015865458474282
-0.7197190422409518,-2.5058345980688324
-1.1610189797817574,-2.509213140106351
-1.3663872575678524,-2.5408145203965
0.504596502434928,-2.5586772868419554
0.6012757880297782,-2.603044961441116
0.022143519406222473,-2.492964146672339
-1.1588399100895534,-2.5174615150239896
-1.0188526968958707,-2.519053380659213
0.583768715329556,-2.612761110572793
1.4878209536187528,-2.5501042356664834
-0.7838389985929174,-2.5747067360892344
1.120635883656632,-2.5463444845676766
0.9080026238142936,-2.553305291321113
2.0973037434945785,-2.4846238659082505
0.33623765357108554,-2.4453505228804877
1.846739850029148,-2.521999709276542
1.6756778191701127,-2.4705800686264756
0.5424080402432602,-2.441821130621785
1.1916167205433112,-2.4951369095595757
0.11673077799033929,-2.428766347687982
-0.4223190100012135,-2.3359569232080073
1.0433575532657493,-2.3959819134500813
-0.7430181577098489,-2.322284759805177
0.05341848647707577,-2.3648140240612228
-1.5303118031490686,-2.2616004177409055
-2.4284291845827113,-2.2046742797387653
-1.5237832424908238,-2.213112019221001
-0.9414238213962525,-2.084239627892882
-2.417523690588456,-2.149475537985158
-1.551755289572979,-1.3170300319085382
-0.5658231757355228,-1.752813794474613
-0.8080157494926636,-1.6452890581882387
-1.8262807518999842,-1.4880271337104702
-1.0187278522889194,-1.8488027599230092
-0.40071901667526666,-1.7542619328124973
-1.456473905976386,-1.6584384828010155
-1.7914662634320413,-1.496104333917116
-2.706340020537556,-1.3074513213426662
-2.0067439327834475,-1.3561951783486583
-2.0511075752240853,-1.2781436151560315
-1.707435633108786,-1.6017498362032319
-2.2884712626636032,-1.7016756913106907
-2.650217667928728,-1.760374257438539
-2.3063520374802153,-1.8142044710511303
