Maturity (Years),Execution Date,Horizon (Years),Metric,Value
10.0,2003-05-01,4.0,R-Squared,-13.163228597570113
10.0,2003-05-01,5.0,RMSE,0.013756110285356308
10.0,2003-05-01,5.0,R-Squared,-13.527866535127774
0.25,2003-09-01,0.5,RMSE,0.0039791548509434385
0.25,2003-09-01,0.5,R-Squared,-37.974662896939606
0.25,2003-09-01,1.0,RMSE,0.006280202378799795
0.25,2003-09-01,1.0,R-Squared,-169.97027129763185
0.25,2003-09-01,2.0,RMSE,0.010006871905879216
0.25,2003-09-01,2.0,R-Squared,-642.4199853000642
0.25,2003-09-01,3.0,RMSE,0.010787482329008995
0.25,2003-09-01,3.0,R-Squared,-8.351573392991359
0.25,2003-09-01,4.0,RMSE,0.009837339689632905
0.25,2003-09-01,4.0,R-Squared,-0.8627444336827448
0.25,2003-09-01,5.0,RMSE,0.00995692652962299
0.25,2003-09-01,5.0,R-Squared,-0.5158370945117796
0.5,2003-09-01,0.5,RMSE,0.004566339781043049
0.5,2003-09-01,0.5,R-Squared,-21.06892820173181
0.5,2003-09-01,1.0,RMSE,0.006790523734494282
0.5,2003-09-01,1.0,R-Squared,-80.86189303703432
0.5,2003-09-01,2.0,RMSE,0.010592935962451392
0.5,2003-09-01,2.0,R-Squared,-307.3129726908282
0.5,2003-09-01,3.0,RMSE,0.010849920309240839
0.5,2003-09-01,3.0,R-Squared,-5.954836220110786
0.5,2003-09-01,4.0,RMSE,0.009778581026746324
0.5,2003-09-01,4.0,R-Squared,-0.6444512522564088
0.5,2003-09-01,5.0,RMSE,0.00955114248325676
0.5,2003-09-01,5.0,R-Squared,-0.2725506726329405
1.0,2003-09-01,0.5,RMSE,0.00510174052441801
1.0,2003-09-01,0.5,R-Squared,-8.007347479388361
1.0,2003-09-01,1.0,RMSE,0.006809189085996247
1.0,2003-09-01,1.0,R-Squared,-22.80086285144176
1.0,2003-09-01,2.0,RMSE,0.010890587333970829
1.0,2003-09-01,2.0,R-Squared,-85.59899970859429
1.0,2003-09-01,3.0,RMSE,0.010667253031398899
1.0,2003-09-01,3.0,R-Squared,-4.237745198465357
1.0,2003-09-01,4.0,RMSE,0.00950161845236547
1.0,2003-09-01,4.0,R-Squared,-0.4305532531455767
1.0,2003-09-01,5.0,RMSE,0.00922379775167012
1.0,2003-09-01,5.0,R-Squared,-0.15498822804741375
2.0,2003-09-01,0.5,RMSE,0.005284891222794201
2.0,2003-09-01,0.5,R-Squared,-4.081624310765337
2.0,2003-09-01,1.0,RMSE,0.006738498695132414
2.0,2003-09-01,1.0,R-Squared,-12.153900400671379
2.0,2003-09-01,2.0,RMSE,0.01176657288205414
2.0,2003-09-01,2.0,R-Squared,-34.16642378336265
2.0,2003-09-01,3.0,RMSE,0.011506334124499562
2.0,2003-09-01,3.0,R-Squared,-5.8899518127041555
2.0,2003-09-01,4.0,RMSE,0.010429477134655224
2.0,2003-09-01,4.0,R-Squared,-1.2150751202489531
2.0,2003-09-01,5.0,RMSE,0.01044157708055385
2.0,2003-09-01,5.0,R-Squared,-1.0364116205496163
3.0,2003-09-01,0.5,RMSE,0.004987030622721172
3.0,2003-09-01,0.5,R-Squared,-3.6060509445821065
3.0,2003-09-01,1.0,RMSE,0.006367323437306362
3.0,2003-09-01,1.0,R-Squared,-10.659699569991307
3.0,2003-09-01,2.0,RMSE,0.01232011906333129
3.0,2003-09-01,2.0,R-Squared,-19.734911043506884
3.0,2003-09-01,3.0,RMSE,0.01230992569645755
3.0,2003-09-01,3.0,R-Squared,-8.494985441326484
3.0,2003-09-01,4.0,RMSE,0.011361265684293378
3.0,2003-09-01,4.0,R-Squared,-2.409003415314786
3.0,2003-09-01,5.0,RMSE,0.011383945874656767
3.0,2003-09-01,5.0,R-Squared,-2.153923528639595
4.0,2003-09-01,0.5,RMSE,0.00478330028671931
4.0,2003-09-01,0.5,R-Squared,-3.158766398120175
4.0,2003-09-01,1.0,RMSE,0.006118100938005025
4.0,2003-09-01,1.0,R-Squared,-9.656481900518276
4.0,2003-09-01,2.0,RMSE,0.012505725286714283
4.0,2003-09-01,2.0,R-Squared,-14.441537211225032
4.0,2003-09-01,3.0,RMSE,0.012809260392580362
4.0,2003-09-01,3.0,R-Squared,-10.820011019973927
4.0,2003-09-01,4.0,RMSE,0.01205083415125
4.0,2003-09-01,4.0,R-Squared,-3.9716159489474485
4.0,2003-09-01,5.0,RMSE,0.012063087172398583
4.0,2003-09-01,5.0,R-Squared,-3.514124200806217
5.0,2003-09-01,0.5,RMSE,0.004555936307139262
5.0,2003-09-01,0.5,R-Squared,-3.295200338274139
5.0,2003-09-01,1.0,RMSE,0.0058729662374426604
