Maturity (Years),Execution Date,Horizon (Years),Metric,Value
1.0,2003-10-01,3.0,R-Squared,-3.115105118488329
1.0,2003-10-01,4.0,RMSE,0.009074887032295097
1.0,2003-10-01,4.0,R-Squared,-0.2565091786919438
1.0,2003-10-01,5.0,RMSE,0.009315847067863361
1.0,2003-10-01,5.0,R-Squared,-0.18679095804185764
2.0,2003-10-01,0.5,RMSE,0.00661663412013581
2.0,2003-10-01,0.5,R-Squared,-7.869878364996442
2.0,2003-10-01,1.0,RMSE,0.0077733593720933905
2.0,2003-10-01,1.0,R-Squared,-16.870545169682863
2.0,2003-10-01,2.0,RMSE,0.011930747054558825
2.0,2003-10-01,2.0,R-Squared,-35.56107657257425
2.0,2003-10-01,3.0,RMSE,0.011405629512525882
2.0,2003-10-01,3.0,R-Squared,-4.981475212395761
2.0,2003-10-01,4.0,RMSE,0.01034583750236013
2.0,2003-10-01,4.0,R-Squared,-1.1018705094411536
2.0,2003-10-01,5.0,RMSE,0.010826996053589513
2.0,2003-10-01,5.0,R-Squared,-1.1826542494404397
3.0,2003-10-01,0.5,RMSE,0.00641602135058705
3.0,2003-10-01,0.5,R-Squared,-7.338820772343928
3.0,2003-10-01,1.0,RMSE,0.007706980749002826
3.0,2003-10-01,1.0,R-Squared,-15.47046181667427
3.0,2003-10-01,2.0,RMSE,0.01280270682272104
3.0,2003-10-01,2.0,R-Squared,-22.634345395370886
3.0,2003-10-01,3.0,RMSE,0.01255793169792304
3.0,2003-10-01,3.0,R-Squared,-8.03817886523437
3.0,2003-10-01,4.0,RMSE,0.01160676554296583
3.0,2003-10-01,4.0,R-Squared,-2.4094655046406355
3.0,2003-10-01,5.0,RMSE,0.012005653954366964
3.0,2003-10-01,5.0,R-Squared,-2.491910920853334
4.0,2003-10-01,0.5,RMSE,0.0062351047267211225
4.0,2003-10-01,0.5,R-Squared,-6.71335509364224
4.0,2003-10-01,1.0,RMSE,0.007635658717846193
4.0,2003-10-01,1.0,R-Squared,-14.528195433505362
4.0,2003-10-01,2.0,RMSE,0.01327434809865892
4.0,2003-10-01,2.0,R-Squared,-17.497792834170795
4.0,2003-10-01,3.0,RMSE,0.013370962819873076
4.0,2003-10-01,3.0,R-Squared,-11.25425130289026
4.0,2003-10-01,4.0,RMSE,0.0125967922553862
