Maturity (Years),Execution Date,Horizon (Years),Metric,Value
5.0,2008-05-01,1.0,VaR,-0.15001777486082024
5.0,2008-05-01,1.0,CVaR,-0.18459709598780383
5.0,2008-05-01,1.0,Volatility,0.08405463475835398
5.0,2008-05-01,1.0,Expected Returns,-0.008814380540453293
5.0,2008-05-01,1.0,Observed Annual Return,0.09999341597026279
5.0,2008-05-01,2.0,VaR,-0.15650233115314202
5.0,2008-05-01,2.0,CVaR,-0.2033885674570998
5.0,2008-05-01,2.0,Volatility,0.08971180201648231
5.0,2008-05-01,2.0,Expected Returns,-0.004562688762477434
5.0,2008-05-01,2.0,Observed Annual Return,0.051865985972392115
5.0,2008-05-01,3.0,VaR,-0.15096017752528432
5.0,2008-05-01,3.0,CVaR,-0.20114372946993522
5.0,2008-05-01,3.0,Volatility,0.09489162981609385
5.0,2008-05-01,3.0,Expected Returns,-0.0016673681454457223
5.0,2008-05-01,3.0,Observed Annual Return,-0.03832661665320436
5.0,2008-05-01,4.0,VaR,-0.15178570800085467
5.0,2008-05-01,4.0,CVaR,-0.19946498785001013
5.0,2008-05-01,4.0,Volatility,0.09071719488886874
5.0,2008-05-01,4.0,Expected Returns,0.00047965515067475105
5.0,2008-05-01,4.0,Observed Annual Return,0.0840327656819293
5.0,2008-05-01,5.0,VaR,-0.1505455540639089
5.0,2008-05-01,5.0,CVaR,-0.19462660434130177
5.0,2008-05-01,5.0,Volatility,0.09604923760650805
5.0,2008-05-01,5.0,Expected Returns,0.00329405631871467
5.0,2008-05-01,5.0,Observed Annual Return,0.007682223372435404
6.0,2008-05-01,1.0,VaR,-0.17895556130809417
6.0,2008-05-01,1.0,CVaR,-0.22030862622325767
6.0,2008-05-01,1.0,Volatility,0.10105867286366063
6.0,2008-05-01,1.0,Expected Returns,-0.010372350095198355
6.0,2008-05-01,1.0,Observed Annual Return,0.10314942615522926
6.0,2008-05-01,2.0,VaR,-0.18614124531465598
6.0,2008-05-01,2.0,CVaR,-0.24291387200352316
6.0,2008-05-01,2.0,Volatility,0.10766365399458094
6.0,2008-05-01,2.0,Expected Returns,-0.0052911154374569004
6.0,2008-05-01,2.0,Observed Annual Return,0.0620711388062396
6.0,2008-05-01,3.0,VaR,-0.1800460725098953
6.0,2008-05-01,3.0,CVaR,-0.24009379777071124
6.0,2008-05-01,3.0,Volatility,0.11394929968386698
6.0,2008-05-01,3.0,Expected Returns,-0.0013023932179773267
6.0,2008-05-01,3.0,Observed Annual Return,-0.03954647423179114
6.0,2008-05-01,4.0,VaR,-0.18261678555069785
6.0,2008-05-01,4.0,CVaR,-0.23841654517563057
6.0,2008-05-01,4.0,Volatility,0.10900881170392542
6.0,2008-05-01,4.0,Expected Returns,0.0014014931325652261
6.0,2008-05-01,4.0,Observed Annual Return,0.10054258908612712
6.0,2008-05-01,5.0,VaR,-0.18062548331135495
6.0,2008-05-01,5.0,CVaR,-0.23236285819137414
6.0,2008-05-01,5.0,Volatility,0.11506200728774685
6.0,2008-05-01,5.0,Expected Returns,0.004926610124549264
6.0,2008-05-01,5.0,Observed Annual Return,0.010673291648817251
7.0,2008-05-01,1.0,VaR,-0.20765368740425133
7.0,2008-05-01,1.0,CVaR,-0.2554635153408696
7.0,2008-05-01,1.0,Volatility,0.1180299762931031
7.0,2008-05-01,1.0,Expected Returns,-0.011876871070412553
7.0,2008-05-01,1.0,Observed Annual Return,0.10423999161110953
7.0,2008-05-01,2.0,VaR,-0.21809662592689452
7.0,2008-05-01,2.0,CVaR,-0.28148056076224953
7.0,2008-05-01,2.0,Volatility,0.12560711274239544
7.0,2008-05-01,2.0,Expected Returns,-0.005805688913830208
7.0,2008-05-01,2.0,Observed Annual Return,0.06918620286053978
7.0,2008-05-01,3.0,VaR,-0.21043561040951095
7.0,2008-05-01,3.0,CVaR,-0.2780874755679729
7.0,2008-05-01,3.0,Volatility,0.13292737050717057
7.0,2008-05-01,3.0,Expected Returns,-0.0005953355493413079
7.0,2008-05-01,3.0,Observed Annual Return,-0.038088343124335844
7.0,2008-05-01,4.0,VaR,-0.21225599388995225
7.0,2008-05-01,4.0,CVaR,-0.2766298797189312
7.0,2008-05-01,4.0,Volatility,0.12728936909193872
7.0,2008-05-01,4.0,Expected Returns,0.002683621053760728
7.0,2008-05-01,4.0,Observed Annual Return,0.11400380941357724
7.0,2008-05-01,5.0,VaR,-0.21202369596438023
7.0,2008-05-01,5.0,CVaR,-0.26960937353954284
7.0,2008-05-01,5.0,Volatility,0.13397241487962616
7.0,2008-05-01,5.0,Expected Returns,0.0069299892194129385
7.0,2008-05-01,5.0,Observed Annual Return,0.014864552983010704
8.0,2008-05-01,1.0,VaR,-0.23514834716224817
8.0,2008-05-01,1.0,CVaR,-0.29020445446157195
8.0,2008-05-01,1.0,Volatility,0.13504106944429575
8.0,2008-05-01,1.0,Expected Returns,-0.013183214166897677
8.0,2008-05-01,1.0,Observed Annual Return,0.10846799692435272
8.0,2008-05-01,2.0,VaR,-0.25090681809982174
8.0,2008-05-01,2.0,CVaR,-0.3193737730710481
8.0,2008-05-01,2.0,Volatility,0.14362576733572582
8.0,2008-05-01,2.0,Expected Returns,-0.006005224398059569
8.0,2008-05-01,2.0,Observed Annual Return,0.0725192729968811
8.0,2008-05-01,3.0,VaR,-0.23803779921420862
8.0,2008-05-01,3.0,CVaR,-0.3154405187637994
8.0,2008-05-01,3.0,Volatility,0.15192402866725085
8.0,2008-05-01,3.0,Expected Returns,0.0004966459865120374
8.0,2008-05-01,3.0,Observed Annual Return,-0.03505891855923038
8.0,2008-05-01,4.0,VaR,-0.23882060093329616
8.0,2008-05-01,4.0,CVaR,-0.3139870228990673
8.0,2008-05-01,4.0,Volatility,0.14563855671938247
8.0,2008-05-01,4.0,Expected Returns,0.004363805657796927
8.0,2008-05-01,4.0,Observed Annual Return,0.1281210789028545
8.0,2008-05-01,5.0,VaR,-0.24063517255985872
8.0,2008-05-01,5.0,CVaR,-0.30657950558040614
8.0,2008-05-01,5.0,Volatility,0.15288887852480726
8.0,2008-05-01,5.0,Expected Returns,0.009334623016251977
8.0,2008-05-01,5.0,Observed Annual Return,0.012418785087903284
9.0,2008-05-01,1.0,VaR,-0.2583541558126668
9.0,2008-05-01,1.0,CVaR,-0.3242584609390729
9.0,2008-05-01,1.0,Volatility,0.15212610063987178
9.0,2008-05-01,1.0,Expected Returns,-0.014195663239552115
9.0,2008-05-01,1.0,Observed Annual Return,0.11230180528959943
9.0,2008-05-01,2.0,VaR,-0.27667252080080074
9.0,2008-05-01,2.0,CVaR,-0.35688603353270554
9.0,2008-05-01,2.0,Volatility,0.16175096412873233
9.0,2008-05-01,2.0,Expected Returns,-0.005823779847224497
9.0,2008-05-01,2.0,Observed Annual Return,0.0723320297554031
9.0,2008-05-01,3.0,VaR,-0.26766830426100374
9.0,2008-05-01,3.0,CVaR,-0.3521283566162355
9.0,2008-05-01,3.0,Volatility,0.17098545067518434
9.0,2008-05-01,3.0,Expected Returns,0.002002120520589431
9.0,2008-05-01,3.0,Observed Annual Return,-0.03503078848840213
9.0,2008-05-01,4.0,VaR,-0.26983498223692864
9.0,2008-05-01,4.0,CVaR,-0.3505372573994576
9.0,2008-05-01,4.0,Volatility,0.16408706636635673
9.0,2008-05-01,4.0,Expected Returns,0.006467731356286327
9.0,2008-05-01,4.0,Observed Annual Return,0.14058747512936343
9.0,2008-05-01,5.0,VaR,-0.268990881276644
9.0,2008-05-01,5.0,CVaR,-0.3430350624489513
9.0,2008-05-01,5.0,Volatility,0.17186345950039691
9.0,2008-05-01,5.0,Expected Returns,0.012162060831662533
9.0,2008-05-01,5.0,Observed Annual Return,0.0073810595334646845
10.0,2008-05-01,1.0,VaR,-0.2856911538554559
10.0,2008-05-01,1.0,CVaR,-0.35759485932419083
10.0,2008-05-01,1.0,Volatility,0.16929899468917
10.0,2008-05-01,1.0,Expected Returns,-0.014855516295502243
10.0,2008-05-01,1.0,Observed Annual Return,0.11372351189253804
10.0,2008-05-01,2.0,VaR,-0.3053311303285821
10.0,2008-05-01,2.0,CVaR,-0.3939530472232879
10.0,2008-05-01,2.0,Volatility,0.1799891910097373
