Maturity (Years),Execution Date,Horizon (Years),Metric,Value
10.0,1999-07-01,2.0,R-Squared,-6.113495901441041
10.0,1999-07-01,3.0,RMSE,0.008148606428571754
10.0,1999-07-01,3.0,R-Squared,-10.76024431152647
10.0,1999-07-01,4.0,RMSE,0.01292934871525361
10.0,1999-07-01,4.0,R-Squared,-6.485305912344521
10.0,1999-07-01,5.0,RMSE,0.015199701188781474
10.0,1999-07-01,5.0,R-Squared,-8.582604189152109
0.25,1998-11-01,0.5,RMSE,0.009844805517980221
0.25,1998-11-01,0.5,R-Squared,-14.313989185033735
0.25,1998-11-01,1.0,RMSE,0.010702613975631423
0.25,1998-11-01,1.0,R-Squared,-10.942669084100771
0.25,1998-11-01,2.0,RMSE,0.008414864855830088
0.25,1998-11-01,2.0,R-Squared,0.01708836786921497
0.25,1998-11-01,3.0,RMSE,0.008033923900029251
0.25,1998-11-01,3.0,R-Squared,0.04042527703516485
0.25,1998-11-01,4.0,RMSE,0.010771084958790084
0.25,1998-11-01,4.0,R-Squared,-1.0553561855225646
0.25,1998-11-01,5.0,RMSE,0.015746327916363358
0.25,1998-11-01,5.0,R-Squared,-2.183285013032279
0.5,1998-11-01,0.5,RMSE,0.009118906921757413
0.5,1998-11-01,0.5,R-Squared,-14.799355076993889
0.5,1998-11-01,1.0,RMSE,0.009238307276618828
0.5,1998-11-01,1.0,R-Squared,-10.061854033614793
0.5,1998-11-01,2.0,RMSE,0.007375315640155754
0.5,1998-11-01,2.0,R-Squared,0.27445645588660583
0.5,1998-11-01,3.0,RMSE,0.007561594111458634
0.5,1998-11-01,3.0,R-Squared,0.10557188456042144
0.5,1998-11-01,4.0,RMSE,0.010439610240249217
0.5,1998-11-01,4.0,R-Squared,-0.9933158773975597
0.5,1998-11-01,5.0,RMSE,0.015863934575693694
0.5,1998-11-01,5.0,R-Squared,-2.093029328302055
1.0,1998-11-01,0.5,RMSE,0.008393522726348737
1.0,1998-11-01,0.5,R-Squared,-18.60487953186553
1.0,1998-11-01,1.0,RMSE,0.008340027183089443
1.0,1998-11-01,1.0,R-Squared,-7.819626709252821
1.0,1998-11-01,2.0,RMSE,0.006645713101689301
1.0,1998-11-01,2.0,R-Squared,0.4260014790675648
1.0,1998-11-01,3.0,RMSE,0.007461996906993949
1.0,1998-11-01,3.0,R-Squared,0.09788463007999448
1.0,1998-11-01,4.0,RMSE,0.01022218009727221
1.0,1998-11-01,4.0,R-Squared,-0.9823404753397276
1.0,1998-11-01,5.0,RMSE,0.01601822779864021
1.0,1998-11-01,5.0,R-Squared,-2.119931172257226
2.0,1998-11-01,0.5,RMSE,0.00772342559655939
2.0,1998-11-01,0.5,R-Squared,-22.566800290613486
2.0,1998-11-01,1.0,RMSE,0.006450555305967353
2.0,1998-11-01,1.0,R-Squared,-1.2424127991320586
2.0,1998-11-01,2.0,RMSE,0.005162171804877206
2.0,1998-11-01,2.0,R-Squared,0.6206887157913794
2.0,1998-11-01,3.0,RMSE,0.007047781933234996
2.0,1998-11-01,3.0,R-Squared,0.07110561482829836
2.0,1998-11-01,4.0,RMSE,0.0096707655163849
2.0,1998-11-01,4.0,R-Squared,-1.0062130704806176
2.0,1998-11-01,5.0,RMSE,0.015621540910274033
2.0,1998-11-01,5.0,R-Squared,-2.203264897703547
3.0,1998-11-01,0.5,RMSE,0.007088393015104739
3.0,1998-11-01,0.5,R-Squared,-25.951464355147095
3.0,1998-11-01,1.0,RMSE,0.0053589061315197474
3.0,1998-11-01,1.0,R-Squared,-0.11150158438684254
3.0,1998-11-01,2.0,RMSE,0.0043556888347511475
3.0,1998-11-01,2.0,R-Squared,0.6952833451595948
3.0,1998-11-01,3.0,RMSE,0.006773297512913916
3.0,1998-11-01,3.0,R-Squared,0.012539992358451602
3.0,1998-11-01,4.0,RMSE,0.009281026840259022
