execution_date,mse,r_squared,rmse,maturity
2017-07-01,1.3429670524738881,-1.055870465676131,1.1588645531182185,8.0 years
2017-08-01,1.1656698934490761,-0.7128443737945789,1.0796619347967567,8.0 years
2017-09-01,1.3786720711156255,-0.8685579535428449,1.1741686723446616,8.0 years
2017-10-01,1.4358217835189528,-0.7781442831679861,1.1982578117913327,8.0 years
2017-11-01,1.490547893495881,-0.7582318191332829,1.2208799668664734,8.0 years
2017-12-01,1.4897088680474317,-0.6526243878550682,1.2205363034532941,8.0 years
2018-01-01,1.8773693997071075,-1.0269257903345355,1.3701713030519604,8.0 years
2018-02-01,2.1020260741804453,-1.1694204983381016,1.449836568093261,8.0 years
2018-03-01,1.8900073534796744,-0.9039679211282388,1.3747753829188514,8.0 years
2018-04-01,2.2159798189629574,-1.2016613243253684,1.4886167468367932,8.0 years
2018-05-01,2.0435647598456415,-0.9726536291497756,1.4295330565767417,8.0 years
2018-06-01,2.030968831042003,-0.8870041618877877,1.4251206373644314,8.0 years
2018-07-01,2.1821241850129414,-0.94733524272875,1.477201470691436,8.0 years
2018-08-01,2.014487837849246,-0.7125272198135573,1.4193265437697014,8.0 years
2018-09-01,2.341381146134449,-0.8575990439789212,1.5301572292200725,8.0 years
2018-10-01,2.493854503009885,-0.8233056113152917,1.5791942575281501,8.0 years
2018-11-01,2.255140366819382,-0.572862229722896,1.5017124780794031,8.0 years
2018-12-01,1.7972625418192432,-0.21688401316808847,1.340620207896048,8.0 years
2019-01-01,1.7159951405346852,-0.1273763181157812,1.309959976691916,8.0 years
2019-02-01,1.830195740249988,-0.1545706059287122,1.3528472715905473,8.0 years
2019-03-01,1.5217286548816091,0.07524099033621068,1.2335836635111577,8.0 years
2019-04-01,1.6412972136043018,0.055190628455980995,1.2811312241937989,8.0 years
2019-05-01,1.4426229520836904,0.20345931056502242,1.2010923994779463,8.0 years
2019-06-01,1.454243605834978,0.22308691154135019,1.2059202319535807,8.0 years
2019-07-01,1.4845978541920535,0.22254596851560804,1.2184407470993628,8.0 years
2019-08-01,1.6871017618442075,0.12409632791105363,1.298884814694593,8.0 years
2019-09-01,1.6154664548345548,0.1669620866537337,1.2710100136641547,8.0 years
2019-10-01,1.6835611392700802,0.14745744215365975,1.297521151762113,8.0 years
2019-11-01,1.6748272845339762,0.16371976960691392,1.2941511830284653,8.0 years
2019-12-01,1.6840396740338892,0.17948292196459636,1.297705542114192,8.0 years
2020-01-01,2.0786963774212905,0.002119284790031206,1.4417684895368226,8.0 years
2020-02-01,2.762752640774551,-0.33246567835816143,1.6621530136466232,8.0 years
2020-03-01,4.117378085800946,-1.0295894667831091,2.0291323480248757,8.0 years
2020-04-01,4.345065106904223,-1.2033673625671941,2.0844819756726665,8.0 years
2020-05-01,4.645955825289355,-1.4255109846748288,2.155447940751378,8.0 years
2020-06-01,4.830878653176808,-1.6184046739562716,2.197925989012553,8.0 years
2020-07-01,5.452044025573271,-2.0901808861194002,2.3349612471245154,8.0 years
2020-08-01,5.0821376080047544,-2.0012002753570286,2.254359689136752,8.0 years
2020-09-01,5.3852353624341225,-2.3376384848354794,2.320610989035888,8.0 years
2020-10-01,4.803772379714971,-2.112146272710952,2.191750984878294,8.0 years
2020-11-01,5.0570815971714485,-2.451046692808188,2.2487955881252186,8.0 years
2020-12-01,5.078859825399948,-2.6702901552403966,2.253632584384586,8.0 years
2021-01-01,4.68820195212968,-2.58338753303712,2.1652256122930194,8.0 years
2021-02-01,3.722254179432549,-1.967515373205449,1.9293144324947527,8.0 years
2021-03-01,2.9303338516135797,-1.4015313665195572,1.7118217931822166,8.0 years
2021-04-01,3.2947906050150926,-1.8047613377857146,1.8151558073661591,8.0 years
2021-05-01,3.5436241237222132,-2.16209987999805,1.8824516258651145,8.0 years
2021-06-01,3.8730754551239084,-2.6702545995035383,1.9680130729047276,8.0 years
2021-07-01,4.809420235907626,-4.004003636502502,2.19303904112709,8.0 years
2021-08-01,4.756945423123185,-4.5060048216454,2.1810422790774107,8.0 years
2021-09-01,4.136753828573809,-4.306320769215307,2.0339011353981316,8.0 years
2021-10-01,4.007954288148376,-4.768186032502273,2.001987584414143,8.0 years
2021-11-01,4.54496560866178,-6.705832454589326,2.131892494630482,8.0 years
2021-12-01,4.51075089188668,-8.396086122648594,2.123852841391484,8.0 years
2022-01-01,3.590004092901432,-8.14985049273536,1.894730612224712,8.0 years
2022-02-01,3.5168505264657433,-10.648504142347345,1.8753267785817338,8.0 years
2022-03-01,2.1187574641097107,-7.415562984758552,1.4555952267404941,8.0 years
2022-04-01,1.1425410744006423,-3.929754529857501,1.0688971299431216,8.0 years
2022-05-01,1.2755871307223803,-5.194952376495173,1.129418934993734,8.0 years
2022-06-01,1.0649572672602956,-4.732823368710876,1.031967667739787,8.0 years
2022-07-01,1.7224341750689498,-11.248602866142788,1.3124153972995554,8.0 years
2022-08-01,0.8475811302829696,-5.844000011579101,0.9206416948427708,8.0 years
2022-09-01,0.2635832506478121,-1.0972802552988101,0.5134035943074533,8.0 years
2022-10-01,0.18503879825235772,-0.4294000951812673,0.4301613630399152,8.0 years
2022-11-01,0.4317854398777174,-2.425307133327356,0.6571038273193343,8.0 years
