horizon,mse,r_squared,rmse,maturity
24,13.787606090904077,-0.11096082211358582,3.713166585396362,2.0 years
25,15.755058687247844,-0.285965155460727,3.969264250115863,2.0 years
26,17.920533072128368,-0.48347767709345124,4.233265060462004,2.0 years
27,20.253397059534514,-0.7079068775828199,4.500377435230796,2.0 years
28,22.95223978068725,-0.9795059624241047,4.790849588610276,2.0 years
29,26.96808562461409,-1.380501467593969,5.193080552486558,2.0 years
30,31.656825770759614,-1.8388759261553047,5.626439884221604,2.0 years
31,37.10135123374652,-2.3576502140376863,6.091087853064223,2.0 years
32,43.394962126409034,-2.9793092427123553,6.587485265745118,2.0 years
33,50.438278115731684,-3.6973629637508827,7.101991137401657,2.0 years
34,58.89886305691069,-4.577040922644889,7.674559469892111,2.0 years
35,68.58140818699184,-5.606788921915758,8.281389266722815,2.0 years
36,80.10534553747596,-6.839502576228584,8.950158967162313,2.0 years
37,93.10608098043363,-8.24931866884891,9.649149236095047,2.0 years
38,109.0390899167755,-10.042354552776244,10.442178408587717,2.0 years
39,126.84199788063532,-12.028647265597893,11.262415277400994,2.0 years
40,148.08736402469998,-14.372241207438622,12.169115170163359,2.0 years
41,172.59681846812083,-17.068938807471383,13.137610835616986,2.0 years
42,202.7454005138788,-20.325501238768798,14.238869355179814,2.0 years
43,238.91998253759593,-24.25698599784036,15.457036667408017,2.0 years
44,280.87736304926,-28.811230222135322,16.759396261478514,2.0 years
45,330.3425744169145,-34.21082778038145,18.175328729266894,2.0 years
46,388.9712205408436,-40.61386628555394,19.72235332157001,2.0 years
47,459.05422967655073,-48.35924119116457,21.425550860515834,2.0 years
48,540.3114411905245,-57.32265899092976,23.24460025878106,2.0 years
49,636.2520814996376,-68.06139372227865,25.224037771531297,2.0 years
50,750.0162398051478,-80.91576694525097,27.386424370573604,2.0 years
51,883.3716868394453,-96.31823530660833,29.721569387221887,2.0 years
52,1044.258711263021,-115.1147378064438,32.31499205110565,2.0 years
53,1236.9557384070836,-137.57078853170464,35.17038155049052,2.0 years
54,1463.7687614076954,-164.27474190907319,38.25923106137518,2.0 years
55,1734.047856311386,-196.39152378100664,41.641900248564376,2.0 years
56,2056.4583121979717,-235.17685053541467,45.34818973451941,2.0 years
57,2437.2800049755388,-281.20260856102533,49.36881611883699,2.0 years
58,2887.405008418509,-336.55920394288074,53.73457926157521,2.0 years
59,3418.463751344503,-403.46511643924055,58.467629944649744,2.0 years
60,4044.1060149305754,-483.9476475262039,63.593285926507804,2.0 years
1,0.15406348719980495,0.9848881977279351,0.3925092192545354,3.0 years
2,0.35958339940337497,0.9647535719383492,0.5996527323404564,3.0 years
3,0.5509665700772732,0.9460280329104798,0.7422712240665627,3.0 years
4,0.7212046457113487,0.929400084203679,0.8492376850513339,3.0 years
5,0.8833581385238137,0.9135989090348626,0.9398713414738283,3.0 years
6,1.0571630454994234,0.8966901211458205,1.0281843441228928,3.0 years
7,1.2327012523512557,0.8796370311989546,1.1102708013594051,3.0 years
8,1.3850967400344156,0.8648797381289477,1.176901329778506,3.0 years
9,1.5526587145503097,0.8486815183187576,1.2460572677651336,3.0 years
10,1.73714065130329,0.8308488996413297,1.3180063168677494,3.0 years
11,1.9431978334391278,0.8109451476962315,1.393986310348537,3.0 years
12,2.1880793731107744,0.7873058230477044,1.4792157966675363,3.0 years
13,2.444659233104854,0.7625775003166865,1.5635406080766991,3.0 years
14,2.6936671037611917,0.7386366956184764,1.6412395022546806,3.0 years
15,2.925590099063031,0.7164158540036754,1.710435645987019,3.0 years
16,3.11465973598592,0.6984046669275923,1.7648398612865475,3.0 years
17,3.309463187400525,0.6798823795073643,1.8191930044392004,3.0 years
18,3.505391082216007,0.6612951455428944,1.8722689663122676,3.0 years
19,3.724201010291577,0.6405430371508194,1.9298189060871946,3.0 years
20,3.951855948886766,0.6189380161552902,1.9879275512167858,3.0 years
21,4.1302689929779515,0.6020180672527182,2.032306323608218,3.0 years
22,4.258327820304874,0.5898989588092298,2.063571617440227,3.0 years
23,4.392615096008473,0.5771441614590089,2.095856649680143,3.0 years
24,4.548056748431748,0.5623129729639655,2.132617346931171,3.0 years
25,4.70820304780902,0.5469581798919578,2.1698394059950656,3.0 years
26,4.848919682604549,0.5334478968190333,2.202026267464707,3.0 years
27,4.973977546493111,0.5214486831268696,2.230241589266309,3.0 years
28,5.107563201196321,0.5087487946562758,2.2599918586570884,3.0 years
29,5.281835956030809,0.4923366718381167,2.298224522545787,3.0 years
30,5.442647464678819,0.47735115876945544,2.3329482344618833,3.0 years
31,5.602937430345951,0.4624748850982715,2.367052477311382,3.0 years
32,5.731775579236812,0.45062774501792024,2.394112691423863,3.0 years
